conflict_name,start_year,end_year,theater,battle_name,country,alliance,role,casualties_mil_k,casualties_civ_k,military_personnel_k,front,outcome,treaty,key_leader,equipment_focus,notes
World War I,1914,1918,Middle East,Ypres,Russia,Allied Powers,Support,663.09,406.18,2681.93,Middle East,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Africa,Tannenberg,Belgium,Allied Powers,Belligerent,430.44,137.78,992.32,Africa,Allied Victory,Treaty of Saint-Germain,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Italian Front,Tannenberg,United Kingdom,Allied Powers,Naval,628.04,352.68,1856.45,Italian Front,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Air,Somme,France,Allied Powers,Expeditionary,596.7,377.22,1016.59,Air,Allied Victory,Treaty of Versailles,Enver Pasha,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Middle East,Marne,United States,Allied Powers,Belligerent,652.14,591.35,1222.72,Middle East,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Africa,Somme,Serbia,Allied Powers,Support,351.1,32.63,191.34,Africa,Allied Victory,Treaty of Versailles,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Africa,Jutland,France,Allied Powers,Naval,64.3,351.46,617.95,Africa,Allied Victory,Treaty of Trianon,Enver Pasha,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Eastern Front,Ypres,United Kingdom,Allied Powers,Belligerent,605.65,333.85,462.8,Eastern Front,Allied Victory,Armistice of 1918,Enver Pasha,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Naval,Caporetto,Germany,Central Powers,Support,606.79,131.22,231.02,Naval,Allied Victory,Armistice of 1918,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Naval,Tannenberg,Italy,Allied Powers,Naval,64.12,83.53,2964.09,Naval,Allied Victory,Armistice of 1918,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Balkans,Verdun,Belgium,Allied Powers,Naval,739.93,73.38,1184.0,Balkans,Allied Victory,Treaty of Versailles,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Jutland,Serbia,Allied Powers,Support,381.78,113.97,2743.53,Eastern Front,Allied Victory,Armistice of 1918,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Middle East,Somme,Russia,Allied Powers,Support,203.57,346.65,249.77,Middle East,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Jutland,United States,Allied Powers,Belligerent,158.15,532.89,759.18,Italian Front,Allied Victory,Treaty of Trianon,Nicholas II,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Tannenberg,Germany,Central Powers,Air,373.61,154.73,938.79,Italian Front,Allied Victory,Treaty of Trianon,Enver Pasha,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Verdun,France,Allied Powers,Expeditionary,705.06,133.93,186.68,Eastern Front,Allied Victory,Treaty of Versailles,Nicholas II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Air,Caporetto,France,Allied Powers,Expeditionary,286.22,208.96,2040.7,Air,Allied Victory,Treaty of Sevres,Franz Joseph I,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Western Front,Marne,Italy,Allied Powers,Air,89.07,91.59,2154.06,Western Front,Allied Victory,Treaty of Sevres,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Naval,Marne,Ottoman Empire,Central Powers,Naval,652.64,130.21,611.27,Naval,Allied Victory,Treaty of Trianon,Woodrow Wilson,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Africa,Tannenberg,Serbia,Allied Powers,Air,511.43,294.08,2320.21,Africa,Allied Victory,Armistice of 1918,Georges Clemenceau,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Africa,Tannenberg,France,Allied Powers,Air,865.54,489.77,801.82,Africa,Allied Victory,Treaty of Trianon,Franz Joseph I,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Air,Ypres,Ottoman Empire,Central Powers,Naval,11.65,426.44,1305.8,Air,Allied Victory,Treaty of Sevres,Franz Joseph I,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Eastern Front,Marne,Italy,Allied Powers,Air,263.21,510.17,655.59,Eastern Front,Allied Victory,Treaty of Versailles,Nicholas II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Balkans,Somme,Belgium,Allied Powers,Support,520.65,100.09,795.6,Balkans,Allied Victory,Treaty of Saint-Germain,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Eastern Front,Somme,United States,Allied Powers,Air,472.76,50.39,1928.2,Eastern Front,Allied Victory,Treaty of Sevres,David Lloyd George,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Italian Front,Marne,United Kingdom,Allied Powers,Naval,121.23,38.9,1375.11,Italian Front,Allied Victory,Armistice of 1918,David Lloyd George,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Jutland,Germany,Central Powers,Naval,552.15,258.21,2669.67,Eastern Front,Allied Victory,Treaty of Trianon,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Africa,Verdun,United Kingdom,Allied Powers,Belligerent,861.34,531.06,145.47,Africa,Allied Victory,Armistice of 1918,David Lloyd George,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Jutland,Germany,Central Powers,Support,621.38,8.21,1284.11,Italian Front,Allied Victory,Treaty of Saint-Germain,Georges Clemenceau,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Ypres,United Kingdom,Allied Powers,Support,603.03,409.84,2637.61,Italian Front,Allied Victory,Treaty of Saint-Germain,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Naval,Marne,Belgium,Allied Powers,Belligerent,778.16,67.56,1275.85,Naval,Allied Victory,Treaty of Saint-Germain,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Air,Gallipoli,United Kingdom,Allied Powers,Support,186.5,1.36,1152.76,Air,Allied Victory,Treaty of Versailles,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Naval,Gallipoli,Serbia,Allied Powers,Naval,4.85,411.62,897.81,Naval,Allied Victory,Armistice of 1918,Woodrow Wilson,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Air,Jutland,Austria-Hungary,Central Powers,Support,522.52,248.02,2095.23,Air,Allied Victory,Treaty of Versailles,Nicholas II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Eastern Front,Tannenberg,United Kingdom,Allied Powers,Expeditionary,736.49,392.69,2894.75,Eastern Front,Allied Victory,Armistice of 1918,Nicholas II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Balkans,Verdun,Italy,Allied Powers,Support,637.81,223.8,2109.49,Balkans,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Balkans,Caporetto,United States,Allied Powers,Expeditionary,212.28,552.78,2233.5,Balkans,Allied Victory,Treaty of Sevres,Kaiser Wilhelm II,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Africa,Somme,France,Allied Powers,Belligerent,105.11,198.1,519.51,Africa,Allied Victory,Treaty of Trianon,Nicholas II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Air,Caporetto,Belgium,Allied Powers,Air,484.93,241.42,702.09,Air,Allied Victory,Treaty of Trianon,Nicholas II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Western Front,Gallipoli,Italy,Allied Powers,Air,801.91,304.75,2134.76,Western Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Middle East,Marne,Germany,Central Powers,Air,892.5,132.5,2873.97,Middle East,Allied Victory,Treaty of Trianon,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Western Front,Tannenberg,Italy,Allied Powers,Air,366.68,193.04,1512.98,Western Front,Allied Victory,Treaty of Versailles,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Balkans,Somme,Austria-Hungary,Central Powers,Expeditionary,421.49,582.95,1354.35,Balkans,Allied Victory,Treaty of Trianon,Enver Pasha,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Naval,Somme,Belgium,Allied Powers,Air,881.04,509.4,2905.54,Naval,Allied Victory,Treaty of Sevres,Woodrow Wilson,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Italian Front,Marne,France,Allied Powers,Support,182.07,425.74,1805.58,Italian Front,Allied Victory,Treaty of Versailles,Woodrow Wilson,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Air,Jutland,France,Allied Powers,Support,604.79,381.55,2669.96,Air,Allied Victory,Armistice of 1918,Franz Joseph I,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Middle East,Jutland,France,Allied Powers,Belligerent,673.18,438.45,1738.12,Middle East,Allied Victory,Armistice of 1918,Enver Pasha,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Eastern Front,Tannenberg,Ottoman Empire,Central Powers,Belligerent,821.22,513.85,699.96,Eastern Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Africa,Jutland,Belgium,Allied Powers,Belligerent,491.94,460.31,2339.03,Africa,Allied Victory,Treaty of Sevres,Kaiser Wilhelm II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Western Front,Somme,United States,Allied Powers,Support,447.3,171.1,1768.06,Western Front,Allied Victory,Treaty of Trianon,Enver Pasha,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Middle East,Gallipoli,Austria-Hungary,Central Powers,Belligerent,765.15,26.41,1238.83,Middle East,Allied Victory,Treaty of Sevres,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Balkans,Gallipoli,United States,Allied Powers,Expeditionary,894.17,65.92,1203.45,Balkans,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Western Front,Caporetto,Serbia,Allied Powers,Air,869.55,218.64,2572.46,Western Front,Allied Victory,Armistice of 1918,Enver Pasha,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Naval,Verdun,Ottoman Empire,Central Powers,Naval,474.1,597.6,693.34,Naval,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Air,Verdun,United States,Allied Powers,Naval,861.61,56.8,2767.56,Air,Allied Victory,Treaty of Trianon,Franz Joseph I,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Balkans,Jutland,Serbia,Allied Powers,Support,134.6,118.82,2149.22,Balkans,Allied Victory,Treaty of Trianon,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Africa,Marne,Belgium,Allied Powers,Expeditionary,614.22,26.41,602.5,Africa,Allied Victory,Treaty of Saint-Germain,Enver Pasha,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Balkans,Marne,United States,Allied Powers,Support,282.89,402.75,1026.49,Balkans,Allied Victory,Treaty of Trianon,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Western Front,Ypres,Germany,Central Powers,Support,221.85,289.5,270.77,Western Front,Allied Victory,Armistice of 1918,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Africa,Tannenberg,Italy,Allied Powers,Naval,888.04,25.62,2946.77,Africa,Allied Victory,Treaty of Versailles,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Ypres,Ottoman Empire,Central Powers,Expeditionary,239.66,560.04,1113.33,Eastern Front,Allied Victory,Treaty of Sevres,Enver Pasha,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Eastern Front,Ypres,Serbia,Allied Powers,Belligerent,860.94,88.91,2047.15,Eastern Front,Allied Victory,Treaty of Sevres,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Marne,Germany,Central Powers,Support,815.81,324.84,748.72,Eastern Front,Allied Victory,Treaty of Trianon,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Africa,Ypres,United Kingdom,Allied Powers,Expeditionary,334.51,194.64,2821.75,Africa,Allied Victory,Treaty of Trianon,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Africa,Jutland,United Kingdom,Allied Powers,Naval,449.08,461.01,1836.86,Africa,Allied Victory,Treaty of Saint-Germain,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Naval,Ypres,Serbia,Allied Powers,Air,56.48,407.19,1262.63,Naval,Allied Victory,Armistice of 1918,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Naval,Marne,Ottoman Empire,Central Powers,Air,16.62,568.19,592.1,Naval,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Naval,Verdun,United States,Allied Powers,Air,34.38,386.17,2752.22,Naval,Allied Victory,Treaty of Versailles,David Lloyd George,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Western Front,Somme,Russia,Allied Powers,Air,763.66,152.08,1854.22,Western Front,Allied Victory,Treaty of Sevres,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Naval,Marne,France,Allied Powers,Air,584.5,411.68,2276.98,Naval,Allied Victory,Armistice of 1918,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Naval,Marne,France,Allied Powers,Belligerent,765.24,134.99,1467.13,Naval,Allied Victory,Treaty of Saint-Germain,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Italian Front,Ypres,United States,Allied Powers,Naval,673.99,109.51,2349.24,Italian Front,Allied Victory,Treaty of Trianon,Nicholas II,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Air,Marne,Belgium,Allied Powers,Support,56.86,116.51,518.4,Air,Allied Victory,Treaty of Versailles,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Middle East,Gallipoli,Ottoman Empire,Central Powers,Naval,329.74,347.96,455.19,Middle East,Allied Victory,Treaty of Sevres,Kaiser Wilhelm II,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Naval,Gallipoli,United States,Allied Powers,Support,625.6,154.61,2458.88,Naval,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Air,Gallipoli,United States,Allied Powers,Naval,493.16,322.04,91.58,Air,Allied Victory,Armistice of 1918,David Lloyd George,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Air,Caporetto,United Kingdom,Allied Powers,Naval,78.68,542.98,1566.15,Air,Allied Victory,Treaty of Sevres,Georges Clemenceau,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Naval,Somme,Serbia,Allied Powers,Support,461.87,593.35,2686.06,Naval,Allied Victory,Treaty of Sevres,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Western Front,Tannenberg,Russia,Allied Powers,Naval,68.0,309.81,1301.52,Western Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Balkans,Verdun,Ottoman Empire,Central Powers,Naval,275.75,283.43,2616.34,Balkans,Allied Victory,Treaty of Versailles,Georges Clemenceau,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Italian Front,Gallipoli,Germany,Central Powers,Air,616.56,143.31,1150.59,Italian Front,Allied Victory,Treaty of Versailles,Enver Pasha,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Eastern Front,Gallipoli,Belgium,Allied Powers,Belligerent,470.55,2.16,2122.23,Eastern Front,Allied Victory,Treaty of Versailles,Franz Joseph I,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Tannenberg,Germany,Central Powers,Belligerent,432.11,389.49,2187.37,Eastern Front,Allied Victory,Treaty of Sevres,Enver Pasha,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Balkans,Ypres,Ottoman Empire,Central Powers,Air,521.5,439.34,1811.45,Balkans,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Western Front,Tannenberg,France,Allied Powers,Belligerent,32.45,497.29,2779.2,Western Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Africa,Somme,Germany,Central Powers,Belligerent,335.63,89.58,2012.12,Africa,Allied Victory,Treaty of Sevres,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Western Front,Verdun,United Kingdom,Allied Powers,Support,558.47,531.47,1125.2,Western Front,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Balkans,Jutland,Italy,Allied Powers,Air,780.49,592.66,2257.09,Balkans,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Italian Front,Somme,Austria-Hungary,Central Powers,Belligerent,364.61,68.25,2346.75,Italian Front,Allied Victory,Treaty of Sevres,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Balkans,Ypres,United States,Allied Powers,Air,690.85,521.1,2378.77,Balkans,Allied Victory,Armistice of 1918,Enver Pasha,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Eastern Front,Jutland,United Kingdom,Allied Powers,Air,288.89,298.09,310.79,Eastern Front,Allied Victory,Treaty of Trianon,Nicholas II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Middle East,Jutland,Belgium,Allied Powers,Air,71.88,164.09,1856.21,Middle East,Allied Victory,Treaty of Versailles,Georges Clemenceau,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Italian Front,Gallipoli,United Kingdom,Allied Powers,Expeditionary,400.34,159.69,129.09,Italian Front,Allied Victory,Armistice of 1918,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Middle East,Tannenberg,Russia,Allied Powers,Expeditionary,131.68,265.1,1793.93,Middle East,Allied Victory,Treaty of Versailles,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Eastern Front,Gallipoli,Ottoman Empire,Central Powers,Naval,807.46,366.01,2021.52,Eastern Front,Allied Victory,Armistice of 1918,Georges Clemenceau,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Balkans,Tannenberg,Serbia,Allied Powers,Naval,106.89,399.77,204.33,Balkans,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Italian Front,Marne,Ottoman Empire,Central Powers,Expeditionary,140.22,369.91,2847.4,Italian Front,Allied Victory,Treaty of Versailles,David Lloyd George,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Italian Front,Caporetto,Belgium,Allied Powers,Belligerent,646.72,84.97,239.5,Italian Front,Allied Victory,Treaty of Sevres,Franz Joseph I,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Middle East,Jutland,United Kingdom,Allied Powers,Expeditionary,157.88,149.12,1394.22,Middle East,Allied Victory,Treaty of Sevres,Franz Joseph I,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Italian Front,Verdun,Austria-Hungary,Central Powers,Naval,71.59,110.31,1041.05,Italian Front,Allied Victory,Treaty of Trianon,David Lloyd George,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Naval,Caporetto,Ottoman Empire,Central Powers,Air,827.62,311.32,1875.05,Naval,Allied Victory,Armistice of 1918,Nicholas II,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Middle East,Gallipoli,Italy,Allied Powers,Air,232.93,271.43,919.99,Middle East,Allied Victory,Treaty of Saint-Germain,David Lloyd George,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Balkans,Jutland,United Kingdom,Allied Powers,Expeditionary,866.34,261.26,2101.37,Balkans,Allied Victory,Treaty of Versailles,Franz Joseph I,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Naval,Ypres,Belgium,Allied Powers,Air,25.47,92.34,872.46,Naval,Allied Victory,Treaty of Trianon,Enver Pasha,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Naval,Tannenberg,Ottoman Empire,Central Powers,Belligerent,829.09,42.41,1112.42,Naval,Allied Victory,Treaty of Sevres,Georges Clemenceau,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Western Front,Caporetto,United Kingdom,Allied Powers,Naval,302.42,151.77,139.26,Western Front,Allied Victory,Treaty of Saint-Germain,Woodrow Wilson,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1918,Italian Front,Caporetto,Austria-Hungary,Central Powers,Support,224.02,128.3,1347.98,Italian Front,Allied Victory,Treaty of Sevres,Woodrow Wilson,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Middle East,Gallipoli,United States,Allied Powers,Expeditionary,377.11,517.02,2409.41,Middle East,Allied Victory,Treaty of Saint-Germain,Franz Joseph I,Trench Warfare,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1918,Air,Marne,Belgium,Allied Powers,Naval,486.09,478.87,2723.2,Air,Allied Victory,Treaty of Versailles,David Lloyd George,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1919,Africa,Jutland,Ottoman Empire,Central Powers,Support,318.92,196.0,2508.47,Africa,Allied Victory,Armistice of 1918,Woodrow Wilson,Artillery,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1915,1919,Italian Front,Verdun,Germany,Central Powers,Air,634.7,229.04,1772.8,Italian Front,Allied Victory,Armistice of 1918,David Lloyd George,Tanks,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1916,1918,Italian Front,Gallipoli,United States,Allied Powers,Belligerent,296.18,27.15,283.77,Italian Front,Allied Victory,Treaty of Saint-Germain,Enver Pasha,Submarines,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Italian Front,Ypres,Germany,Central Powers,Belligerent,187.98,259.84,1175.82,Italian Front,Allied Victory,Treaty of Trianon,Georges Clemenceau,Gas,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1919,Naval,Marne,Ottoman Empire,Central Powers,Air,632.48,466.79,599.15,Naval,Allied Victory,Armistice of 1918,Kaiser Wilhelm II,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1917,1918,Balkans,Marne,United Kingdom,Allied Powers,Air,894.55,290.13,1705.06,Balkans,Allied Victory,Treaty of Sevres,Woodrow Wilson,Biplanes,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
World War I,1914,1919,Italian Front,Ypres,Russia,Allied Powers,Expeditionary,574.32,208.5,2616.75,Italian Front,Allied Victory,Treaty of Sevres,Georges Clemenceau,Machine Guns,Allied victory; Central Powers collapsed; Treaty of Versailles reshaped Europe
