issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Venezuela-US Tensions 2026,2025,East Asia,Russia; Ukraine,Regional Allies,State Actors,Sanctions escalation,High,0.761,Low,Regional displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,State Actors,Airspace violation,Low,0.641,Medium,Localized displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Airspace violation,Moderate,0.335,Medium,Localized displacement,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,China; Taiwan,UN Mediation,Non-State Actors,Cyber attack,High,0.679,Medium,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Coalition A,Non-State Actors,Cyber attack,Moderate,0.562,Medium,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Middle East,Venezuela; United States,Non-Aligned,State Actors,Sanctions escalation,Moderate,0.077,Low,Mass displacement,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,Venezuela; United States,Regional Allies,Hybrid Threats,Maritime confrontation,Low,0.696,High,Regional displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,East Asia,North Korea; South Korea,Regional Allies,Opposing Coalition,Proxy conflict,Low,0.164,Low,Regional displacement,Regional recession,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,NATO,Hybrid Threats,Border incident,Low,0.305,Medium,Localized displacement,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Eastern Europe,China; Taiwan,Coalition B,Hybrid Threats,Cyber attack,High,0.809,High,Humanitarian crisis,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,South Asia,North Korea; South Korea,Regional Allies,Hybrid Threats,Maritime confrontation,Low,0.645,High,Mass displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,East Asia,Venezuela; United States,NATO,Opposing Coalition,Maritime confrontation,Severe,0.105,Low,Regional displacement,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,India; Pakistan,Coalition A,Opposing Coalition,Maritime confrontation,Moderate,0.746,Low,Localized displacement,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Opposing Coalition,Cyber attack,Severe,0.786,High,Mass displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,State Actors,Maritime confrontation,Severe,0.103,High,Mass displacement,Regional recession,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Opposing Coalition,Airspace violation,Severe,0.389,Medium,Mass displacement,Regional recession,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Latin America,India; Pakistan,Non-Aligned,Hybrid Threats,Cyber attack,Moderate,0.682,Low,Humanitarian crisis,Energy price spike,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,India; Pakistan,Coalition A,Non-State Actors,Airspace violation,Low,0.686,Medium,Mass displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,Coalition A,Hybrid Threats,Proxy conflict,Low,0.203,Low,Localized displacement,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,UN Mediation,Hybrid Threats,Airspace violation,High,0.218,Medium,Humanitarian crisis,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,NATO,Non-State Actors,Maritime confrontation,High,0.091,High,Mass displacement,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Latin America,India; Pakistan,Coalition B,State Actors,Airspace violation,Moderate,0.769,Medium,Mass displacement,Global market impact,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Maritime confrontation,High,0.435,Medium,Regional displacement,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,State Actors,Border incident,Low,0.754,High,Localized displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,State Actors,Maritime confrontation,Low,0.257,High,Localized displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,East Asia,North Korea; South Korea,Non-Aligned,Hybrid Threats,Sanctions escalation,Moderate,0.809,Medium,Mass displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,East Asia,Venezuela; United States,Non-Aligned,State Actors,Sanctions escalation,High,0.57,High,Humanitarian crisis,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,India; Pakistan,UN Mediation,Non-State Actors,Sanctions escalation,High,0.666,Low,Regional displacement,Energy price spike,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Middle East,Venezuela; United States,NATO,Hybrid Threats,Border incident,Low,0.679,Medium,Localized displacement,Regional recession,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Latin America,Russia; Ukraine,NATO,Opposing Coalition,Proxy conflict,Severe,0.111,Low,Mass displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,Venezuela; United States,Non-Aligned,State Actors,Sanctions escalation,Severe,0.362,High,Humanitarian crisis,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Sanctions escalation,High,0.501,Medium,Localized displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Latin America,North Korea; South Korea,Coalition A,Hybrid Threats,Sanctions escalation,Moderate,0.336,Low,Humanitarian crisis,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,Russia; Ukraine,Coalition A,Opposing Coalition,Sanctions escalation,High,0.495,High,Regional displacement,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,Russia; Ukraine,UN Mediation,State Actors,Proxy conflict,Moderate,0.234,High,Localized displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,Venezuela; United States,UN Mediation,Non-State Actors,Airspace violation,Low,0.372,High,Localized displacement,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,South Asia,Russia; Ukraine,UN Mediation,State Actors,Sanctions escalation,Low,0.483,High,Regional displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Latin America,North Korea; South Korea,Regional Allies,Non-State Actors,Sanctions escalation,Low,0.743,Low,Regional displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,North Korea; South Korea,UN Mediation,Opposing Coalition,Sanctions escalation,Low,0.779,High,Humanitarian crisis,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,State Actors,Airspace violation,High,0.316,High,Regional displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,China; Taiwan,UN Mediation,Opposing Coalition,Maritime confrontation,High,0.758,High,Mass displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Latin America,India; Pakistan,Regional Allies,Opposing Coalition,Proxy conflict,High,0.051,Medium,Mass displacement,Regional recession,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,North Korea; South Korea,Non-Aligned,State Actors,Proxy conflict,Moderate,0.32,High,Humanitarian crisis,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,State Actors,Proxy conflict,High,0.434,Medium,Mass displacement,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,North Korea; South Korea,Coalition B,Non-State Actors,Cyber attack,Moderate,0.15,Medium,Localized displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,East Asia,India; Pakistan,Regional Allies,Opposing Coalition,Airspace violation,Low,0.501,Low,Localized displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Middle East,Russia; Ukraine,Regional Allies,Opposing Coalition,Border incident,Low,0.683,Low,Mass displacement,Localized shock,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Latin America,Russia; Ukraine,NATO,State Actors,Cyber attack,High,0.38,High,Mass displacement,Regional recession,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Border incident,High,0.611,Medium,Mass displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,Regional Allies,State Actors,Airspace violation,High,0.371,Low,Humanitarian crisis,Localized shock,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,Russia; Ukraine,Coalition B,Non-State Actors,Airspace violation,Low,0.55,Medium,Regional displacement,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,North Korea; South Korea,Coalition A,Opposing Coalition,Sanctions escalation,Low,0.501,High,Mass displacement,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,South Asia,Venezuela; United States,Coalition B,Hybrid Threats,Sanctions escalation,Severe,0.609,Medium,Regional displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Eastern Europe,Russia; Ukraine,Non-Aligned,Non-State Actors,Border incident,Severe,0.23,Medium,Regional displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,State Actors,Proxy conflict,High,0.068,High,Regional displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,North Korea; South Korea,NATO,Non-State Actors,Border incident,High,0.198,Medium,Localized displacement,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Middle East,Russia; Ukraine,NATO,Non-State Actors,Border incident,Severe,0.414,High,Mass displacement,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Russia; Ukraine,Coalition B,Hybrid Threats,Maritime confrontation,Moderate,0.436,Medium,Localized displacement,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,China; Taiwan,Regional Allies,Hybrid Threats,Airspace violation,Moderate,0.41,Low,Localized displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Middle East,Russia; Ukraine,NATO,State Actors,Sanctions escalation,Low,0.419,Medium,Regional displacement,Localized shock,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,India; Pakistan,Regional Allies,Opposing Coalition,Cyber attack,Moderate,0.705,Medium,Mass displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,South Asia,Venezuela; United States,Coalition A,Hybrid Threats,Proxy conflict,Low,0.171,Low,Humanitarian crisis,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,India; Pakistan,Coalition A,Opposing Coalition,Maritime confrontation,High,0.189,Medium,Mass displacement,Global market impact,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,South Asia,Russia; Ukraine,Coalition A,Non-State Actors,Sanctions escalation,High,0.695,Medium,Regional displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Non-State Actors,Airspace violation,Moderate,0.727,Medium,Regional displacement,Localized shock,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,South Asia,India; Pakistan,Non-Aligned,Hybrid Threats,Cyber attack,High,0.424,High,Mass displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,State Actors,Cyber attack,High,0.014,Medium,Regional displacement,Regional recession,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,India; Pakistan,NATO,Hybrid Threats,Cyber attack,Moderate,0.036,High,Humanitarian crisis,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,North Korea; South Korea,Regional Allies,Opposing Coalition,Border incident,Low,0.468,Medium,Mass displacement,Localized shock,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,NATO,Hybrid Threats,Border incident,High,0.401,Medium,Regional displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,East Asia,China; Taiwan,UN Mediation,Non-State Actors,Maritime confrontation,Severe,0.118,Low,Mass displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,India; Pakistan,UN Mediation,Non-State Actors,Sanctions escalation,Low,0.44,Medium,Localized displacement,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,UN Mediation,Hybrid Threats,Border incident,Low,0.326,Low,Mass displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,East Asia,North Korea; South Korea,Regional Allies,State Actors,Airspace violation,Severe,0.303,Medium,Localized displacement,Global market impact,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,Venezuela; United States,Coalition B,Non-State Actors,Airspace violation,Severe,0.363,High,Humanitarian crisis,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Cyber attack,High,0.812,Low,Regional displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,Russia; Ukraine,Non-Aligned,State Actors,Cyber attack,High,0.396,Medium,Humanitarian crisis,Energy price spike,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,North Korea; South Korea,Coalition B,Hybrid Threats,Sanctions escalation,Low,0.341,High,Regional displacement,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,India; Pakistan,UN Mediation,Non-State Actors,Border incident,Severe,0.6,Medium,Mass displacement,Localized shock,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,China; Taiwan,Non-Aligned,Opposing Coalition,Sanctions escalation,Moderate,0.193,Medium,Mass displacement,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,Russia; Ukraine,NATO,Non-State Actors,Sanctions escalation,Low,0.125,Medium,Mass displacement,Regional recession,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,Venezuela; United States,Regional Allies,Hybrid Threats,Maritime confrontation,Moderate,0.338,High,Mass displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,Venezuela; United States,Coalition A,Hybrid Threats,Border incident,High,0.059,Low,Humanitarian crisis,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,Venezuela; United States,Coalition B,Opposing Coalition,Cyber attack,Low,0.792,Medium,Localized displacement,Energy price spike,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,East Asia,China; Taiwan,NATO,Hybrid Threats,Border incident,Low,0.239,Medium,Humanitarian crisis,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,Russia; Ukraine,Coalition A,Non-State Actors,Airspace violation,High,0.635,Low,Humanitarian crisis,Regional recession,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,India; Pakistan,Non-Aligned,State Actors,Proxy conflict,High,0.678,Medium,Localized displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Latin America,India; Pakistan,NATO,State Actors,Proxy conflict,Severe,0.603,Medium,Mass displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,NATO,Opposing Coalition,Airspace violation,Severe,0.571,Low,Localized displacement,Regional recession,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Airspace violation,High,0.641,High,Humanitarian crisis,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Opposing Coalition,Maritime confrontation,High,0.012,Medium,Localized displacement,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Latin America,North Korea; South Korea,Regional Allies,Opposing Coalition,Sanctions escalation,High,0.038,High,Humanitarian crisis,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,NATO,Opposing Coalition,Maritime confrontation,Moderate,0.028,Medium,Localized displacement,Energy price spike,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Middle East,China; Taiwan,NATO,State Actors,Border incident,Low,0.778,High,Localized displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,State Actors,Cyber attack,High,0.6,Low,Regional displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Latin America,Russia; Ukraine,Coalition B,Opposing Coalition,Proxy conflict,Severe,0.656,High,Humanitarian crisis,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,China; Taiwan,Coalition B,Opposing Coalition,Cyber attack,Low,0.717,High,Localized displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Eastern Europe,Russia; Ukraine,Coalition A,Hybrid Threats,Border incident,Moderate,0.68,Medium,Regional displacement,Energy price spike,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Latin America,India; Pakistan,Coalition B,Opposing Coalition,Airspace violation,Severe,0.383,High,Regional displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Opposing Coalition,Maritime confrontation,Low,0.437,Low,Localized displacement,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,China; Taiwan,UN Mediation,Hybrid Threats,Cyber attack,Low,0.151,Low,Localized displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Opposing Coalition,Airspace violation,Severe,0.811,Medium,Localized displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Latin America,China; Taiwan,Non-Aligned,State Actors,Maritime confrontation,Severe,0.181,Medium,Humanitarian crisis,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Non-Aligned,State Actors,Sanctions escalation,Severe,0.386,Medium,Regional displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Border incident,Low,0.487,High,Localized displacement,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Opposing Coalition,Proxy conflict,Severe,0.442,High,Localized displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,China; Taiwan,Regional Allies,Hybrid Threats,Sanctions escalation,High,0.848,Medium,Regional displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Eastern Europe,North Korea; South Korea,NATO,Non-State Actors,Border incident,Moderate,0.19,Medium,Localized displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,India; Pakistan,Regional Allies,Non-State Actors,Cyber attack,Severe,0.717,Low,Regional displacement,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,East Asia,China; Taiwan,NATO,State Actors,Cyber attack,High,0.334,High,Regional displacement,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,India; Pakistan,NATO,State Actors,Airspace violation,Low,0.034,High,Mass displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Non-State Actors,Cyber attack,High,0.194,Medium,Humanitarian crisis,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
