issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
Taiwan Strait Stability,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,High,High,High,Energy price spike,0.182,70.8,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,Eastern Europe,Russia; Ukraine,High,None,Low,Regional recession,0.421,30.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2026,Middle East,North Korea; South Korea,Moderate,Moderate,Severe,Energy price spike,0.281,55.0,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2025,Latin America,India; Pakistan,Low,High,Low,Global market impact,0.752,57.4,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,Low,Moderate,Low,Regional recession,0.598,39.5,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,East Asia,Russia; Ukraine,Severe,None,Low,Energy price spike,0.804,40.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2025,East Asia,India; Pakistan,Low,High,Moderate,Energy price spike,0.599,54.7,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,East Asia,Russia; Ukraine,Moderate,None,Severe,Energy price spike,0.403,33.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,High,High,Energy price spike,0.698,62.3,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Moderate,None,High,Energy price spike,0.171,23.8,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2026,Eastern Europe,North Korea; South Korea,High,High,Moderate,Energy price spike,0.594,72.2,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,High,High,Severe,Global market impact,0.744,92.4,🔴 Critical,Proxy War,-1,🔴 Critical
Taiwan Strait Stability,2026,South Asia,China; Taiwan,Severe,High,Severe,Energy price spike,0.259,83.9,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2024,Middle East,North Korea; South Korea,Low,None,Moderate,Energy price spike,0.105,10.9,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,High,Localized shock,0.381,47.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,None,Low,Regional recession,0.481,37.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Low,None,Low,Global market impact,0.73,21.9,🟢 Low,Cyber-Dominant,1,🟢 Low
India-Pakistan Escalation 2025,2025,Middle East,India; Pakistan,Low,None,Severe,Regional recession,0.03,23.6,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Low,High,Moderate,Regional recession,0.724,59.2,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,High,Low,Severe,Energy price spike,0.378,56.7,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2024,South Asia,China; Taiwan,Low,Low,Severe,Regional recession,0.174,37.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,High,High,Severe,Localized shock,0.709,82.4,🔴 Critical,Proxy War,-1,🔴 Critical
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,Low,None,Moderate,Energy price spike,0.361,15.4,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2026,South Asia,North Korea; South Korea,Severe,High,Moderate,Global market impact,0.623,84.4,🔴 Critical,Nuclear Standoff,1,🔴 Critical
India-Pakistan Escalation 2025,2025,South Asia,China; Taiwan,Moderate,High,Severe,Regional recession,0.81,78.3,🔴 Critical,Cyber-Dominant,1,🔴 Critical
Russia-Ukraine Conflict,2025,East Asia,Venezuela; United States,High,None,Moderate,Regional recession,0.372,35.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Eastern Europe,China; Taiwan,High,High,Severe,Energy price spike,0.619,84.3,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2026,South Asia,Venezuela; United States,Low,Low,High,Energy price spike,0.159,29.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,Moderate,Moderate,Moderate,Global market impact,0.217,48.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Low,High,Moderate,Global market impact,0.364,56.4,🟠 High,Direct Confrontation,1,🟠 High
Venezuela-US Tensions 2026,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Severe,Localized shock,0.257,27.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,Latin America,China; Taiwan,High,Moderate,High,Localized shock,0.138,54.8,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2026,Eastern Europe,North Korea; South Korea,High,None,Severe,Energy price spike,0.06,39.4,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,North Korea; South Korea,Severe,None,Low,Energy price spike,0.625,37.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Low,None,Low,Global market impact,0.601,19.6,🟢 Low,Cyber-Dominant,1,🟢 Low
India-Pakistan Escalation 2025,2024,East Asia,India; Pakistan,Low,None,High,Localized shock,0.043,12.1,🟢 Low,Direct Confrontation,-1,🟢 Low
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Global market impact,0.172,53.1,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2024,Middle East,China; Taiwan,High,None,Severe,Energy price spike,0.054,39.3,🟡 Moderate,Proxy War,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,East Asia,India; Pakistan,Moderate,None,Low,Energy price spike,0.328,14.8,🟢 Low,Direct Confrontation,1,🟢 Low
Israel-Arab Tensions,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Severe,Regional recession,0.273,86.5,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Moderate,Global market impact,0.55,36.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,East Asia,India; Pakistan,Moderate,None,Severe,Energy price spike,0.489,35.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,East Asia,Russia; Ukraine,High,Low,Low,Energy price spike,0.077,33.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2026,South Asia,India; Pakistan,Moderate,High,Severe,Global market impact,0.614,78.4,🔴 Critical,Cyber-Dominant,1,🔴 Critical
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,Severe,Moderate,Low,Regional recession,0.347,58.5,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,East Asia,Venezuela; United States,High,Moderate,Severe,Localized shock,0.386,65.0,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2024,East Asia,Russia; Ukraine,Severe,Low,High,Localized shock,0.815,60.8,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,South Asia,Russia; Ukraine,High,Low,Severe,Regional recession,0.793,66.3,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,Latin America,North Korea; South Korea,Low,High,Moderate,Energy price spike,0.623,55.1,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2024,South Asia,North Korea; South Korea,Moderate,None,Low,Energy price spike,0.837,23.7,🟢 Low,Cyber-Dominant,1,🟢 Low
India-Pakistan Escalation 2025,2024,South Asia,Russia; Ukraine,Severe,Low,Low,Localized shock,0.491,43.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2025,East Asia,Venezuela; United States,Low,Moderate,High,Regional recession,0.778,54.3,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2025,Middle East,China; Taiwan,Moderate,Moderate,Low,Localized shock,0.025,29.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Eastern Europe,China; Taiwan,Severe,Low,Low,Localized shock,0.831,49.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,Middle East,China; Taiwan,High,Low,Severe,Global market impact,0.642,67.2,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,Latin America,China; Taiwan,Moderate,Moderate,Severe,Regional recession,0.31,57.8,🟠 High,Direct Confrontation,1,🟠 High
Israel-Arab Tensions,2025,East Asia,China; Taiwan,Low,High,High,Energy price spike,0.724,62.8,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2025,East Asia,North Korea; South Korea,Low,Moderate,High,Global market impact,0.117,46.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Latin America,North Korea; South Korea,Low,None,High,Energy price spike,0.243,19.1,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Energy price spike,0.51,53.1,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,South Asia,Russia; Ukraine,Severe,Low,Moderate,Regional recession,0.529,55.8,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2025,Middle East,India; Pakistan,Severe,Low,Low,Regional recession,0.684,52.7,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,Middle East,Russia; Ukraine,Severe,High,Moderate,Regional recession,0.784,83.7,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Korean Peninsula Risk,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,High,Energy price spike,0.701,44.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,East Asia,Russia; Ukraine,Severe,None,Low,Global market impact,0.673,44.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,Low,None,Low,Global market impact,0.034,9.6,🟢 Low,Direct Confrontation,-1,🟢 Low
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Low,Low,Moderate,Energy price spike,0.034,21.3,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2025,East Asia,China; Taiwan,Moderate,High,High,Regional recession,0.461,66.3,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2026,Latin America,China; Taiwan,Moderate,Moderate,Severe,Energy price spike,0.476,58.4,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,East Asia,China; Taiwan,Severe,Low,Low,Global market impact,0.824,58.7,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2026,Middle East,Russia; Ukraine,High,High,Low,Regional recession,0.842,73.0,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,East Asia,China; Taiwan,Low,Moderate,Moderate,Regional recession,0.656,46.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,China; Taiwan,Low,Moderate,High,Regional recession,0.688,52.8,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,South Asia,Russia; Ukraine,Moderate,None,High,Global market impact,0.15,29.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2025,Latin America,Venezuela; United States,Severe,None,Severe,Regional recession,0.261,51.1,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Low,Energy price spike,0.616,37.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Global market impact,0.252,13.5,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2025,Middle East,Russia; Ukraine,Moderate,Low,High,Global market impact,0.242,42.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,High,Global market impact,0.032,50.6,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,High,High,Low,Global market impact,0.655,73.3,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2025,South Asia,India; Pakistan,Severe,Low,High,Energy price spike,0.078,51.4,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,Middle East,India; Pakistan,Moderate,High,Low,Global market impact,0.273,54.8,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Localized shock,0.712,23.9,🟢 Low,Cyber-Dominant,1,🟢 Low
Venezuela-US Tensions 2026,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,Low,Energy price spike,0.69,50.4,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,Severe,Low,Moderate,Localized shock,0.284,45.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,East Asia,Russia; Ukraine,Severe,High,High,Regional recession,0.438,83.5,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,Low,High,Moderate,Energy price spike,0.751,57.4,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,Moderate,Regional recession,0.186,49.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Moderate,Localized shock,0.035,29.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2025,Middle East,China; Taiwan,High,High,Severe,Localized shock,0.794,83.9,🔴 Critical,Proxy War,-1,🔴 Critical
India-Pakistan Escalation 2025,2024,Eastern Europe,Venezuela; United States,Low,None,Moderate,Regional recession,0.44,19.1,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2025,Latin America,Russia; Ukraine,High,Moderate,Low,Regional recession,0.38,53.2,🟠 High,Nuclear Standoff,1,🟠 High
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,None,High,Regional recession,0.696,47.0,🟡 Moderate,Proxy War,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Regional recession,0.735,30.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2026,Latin America,North Korea; South Korea,High,None,Moderate,Energy price spike,0.659,38.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2024,Eastern Europe,Venezuela; United States,Severe,None,Low,Energy price spike,0.497,35.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,High,Low,Regional recession,0.192,61.6,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,High,High,Severe,Energy price spike,0.426,81.0,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2025,Eastern Europe,Venezuela; United States,Moderate,High,Low,Energy price spike,0.036,44.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Severe,Global market impact,0.428,92.7,🔴 Critical,Proxy War,-1,🔴 Critical
Korean Peninsula Risk,2024,Latin America,China; Taiwan,Severe,Moderate,Moderate,Localized shock,0.271,57.1,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Moderate,Moderate,High,Global market impact,0.541,59.6,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,Middle East,China; Taiwan,Severe,High,High,Regional recession,0.216,79.6,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2026,Latin America,India; Pakistan,High,None,High,Localized shock,0.832,43.6,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Low,Regional recession,0.772,77.7,🔴 Critical,Nuclear Standoff,1,🔴 Critical
India-Pakistan Escalation 2025,2025,Eastern Europe,Russia; Ukraine,Moderate,None,Low,Global market impact,0.366,21.3,🟢 Low,Direct Confrontation,1,🟢 Low
Venezuela-US Tensions 2026,2026,South Asia,North Korea; South Korea,High,None,Low,Global market impact,0.734,39.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,High,Moderate,Localized shock,0.795,72.2,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2025,Latin America,North Korea; South Korea,Moderate,Low,Moderate,Regional recession,0.74,41.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,Venezuela; United States,Moderate,Moderate,Severe,Localized shock,0.229,50.6,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2024,Eastern Europe,Russia; Ukraine,High,None,High,Global market impact,0.461,46.4,🟡 Moderate,Proxy War,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,East Asia,Venezuela; United States,Low,High,High,Localized shock,0.666,58.2,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2024,Middle East,Venezuela; United States,Low,Low,Low,Global market impact,0.81,35.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,South Asia,China; Taiwan,Severe,Low,Severe,Localized shock,0.294,57.5,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2024,Latin America,India; Pakistan,Low,Low,Low,Localized shock,0.21,15.1,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,Severe,None,Low,Energy price spike,0.652,38.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Latin America,Venezuela; United States,Low,None,Moderate,Energy price spike,0.83,23.6,🟢 Low,Cyber-Dominant,1,🟢 Low
Israel-Arab Tensions,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Global market impact,0.15,64.4,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2026,East Asia,North Korea; South Korea,Severe,Low,Low,Localized shock,0.23,38.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Severe,Global market impact,0.717,62.6,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,South Asia,Russia; Ukraine,Low,Low,Severe,Regional recession,0.661,46.4,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,China; Taiwan,High,Moderate,Low,Energy price spike,0.088,45.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,Middle East,Russia; Ukraine,High,Moderate,Severe,Energy price spike,0.833,76.4,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2026,South Asia,India; Pakistan,Moderate,Moderate,Severe,Global market impact,0.62,66.8,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2026,Latin America,China; Taiwan,Moderate,Moderate,High,Localized shock,0.32,46.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Global market impact,0.816,64.4,🟠 High,Proxy War,-1,🟠 High
Russia-Ukraine Conflict,2026,Eastern Europe,China; Taiwan,Severe,None,Moderate,Localized shock,0.797,43.0,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Latin America,China; Taiwan,Moderate,Moderate,Low,Localized shock,0.179,32.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Latin America,North Korea; South Korea,Moderate,Low,High,Global market impact,0.077,39.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,Severe,None,Moderate,Regional recession,0.317,40.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Latin America,China; Taiwan,Severe,None,Severe,Regional recession,0.183,49.7,🟡 Moderate,Proxy War,1,🟡 Moderate
Russia-Ukraine Conflict,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,High,High,Severe,Regional recession,0.254,80.3,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2025,Middle East,Russia; Ukraine,Low,Low,Severe,Regional recession,0.595,45.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,Latin America,China; Taiwan,Severe,Low,Moderate,Localized shock,0.369,47.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,South Asia,North Korea; South Korea,Moderate,Low,Moderate,Energy price spike,0.491,35.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,South Asia,India; Pakistan,Severe,High,Moderate,Regional recession,0.012,70.2,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Low,Localized shock,0.065,41.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2026,East Asia,China; Taiwan,High,None,High,Energy price spike,0.208,36.1,🟡 Moderate,Proxy War,1,🟡 Moderate
Israel-Arab Tensions,2024,South Asia,India; Pakistan,Low,High,Moderate,Global market impact,0.071,51.3,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2025,South Asia,Venezuela; United States,Moderate,None,High,Global market impact,0.083,28.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Severe,Regional recession,0.094,54.0,🟠 High,Proxy War,1,🟠 High
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Moderate,High,Severe,Energy price spike,0.632,72.9,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2026,Latin America,Russia; Ukraine,Moderate,Moderate,Low,Localized shock,0.326,34.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,India; Pakistan,High,Low,High,Regional recession,0.446,54.4,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,East Asia,Venezuela; United States,Moderate,High,Low,Regional recession,0.01,46.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Severe,None,Low,Localized shock,0.759,36.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,Middle East,China; Taiwan,Low,High,Low,Energy price spike,0.13,40.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Eastern Europe,Russia; Ukraine,Severe,Low,Moderate,Localized shock,0.293,45.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Severe,Low,Low,Localized shock,0.22,38.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Middle East,China; Taiwan,Severe,Moderate,Low,Global market impact,0.565,65.8,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2024,Eastern Europe,Venezuela; United States,High,Moderate,High,Energy price spike,0.153,58.6,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,South Asia,China; Taiwan,Low,None,Moderate,Regional recession,0.821,25.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,Eastern Europe,Russia; Ukraine,Low,Low,Severe,Global market impact,0.272,43.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Latin America,North Korea; South Korea,Moderate,Low,Moderate,Localized shock,0.257,27.6,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Latin America,North Korea; South Korea,Moderate,None,Severe,Global market impact,0.824,46.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Latin America,India; Pakistan,Severe,Low,Moderate,Localized shock,0.227,44.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Eastern Europe,India; Pakistan,Low,Moderate,High,Global market impact,0.242,48.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,China; Taiwan,High,Moderate,Severe,Regional recession,0.826,78.6,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2025,South Asia,Venezuela; United States,Severe,None,Low,Global market impact,0.293,37.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,India; Pakistan,Low,Moderate,Low,Energy price spike,0.04,27.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,East Asia,Venezuela; United States,Moderate,High,Severe,Energy price spike,0.71,74.2,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2026,East Asia,North Korea; South Korea,Severe,None,High,Energy price spike,0.338,44.3,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2025,Eastern Europe,China; Taiwan,High,Moderate,Severe,Localized shock,0.58,68.4,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,Middle East,North Korea; South Korea,Severe,High,High,Regional recession,0.033,76.4,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2026,Middle East,North Korea; South Korea,Severe,None,Moderate,Localized shock,0.436,36.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,East Asia,Russia; Ukraine,Low,Moderate,Low,Localized shock,0.42,30.5,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
