issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,confidence,probability_estimate,escalation_score,nuclear_score,cyber_score,prob_score,economic_score,raw_risk_score,risk_index,risk_tier,anomaly_flag,anomaly_score,predicted_tier_num,predicted_tier,cluster,archetype
Venezuela-US Tensions 2026,2025,Eastern Europe,China; Taiwan,High,Low,Moderate,Localized shock,Medium,0.661,20,10,10,9.92,2,51.92,46.4,🟡 Moderate,1,-0.5151863509976836,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Eastern Europe,Venezuela; United States,Low,Moderate,High,Localized shock,High,0.657,5,20,15,9.86,2,51.86,46.4,🟡 Moderate,1,-0.5297639184351778,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Moderate,Localized shock,High,0.587,5,0,10,8.8,2,25.8,15.8,🟢 Low,1,-0.555957922866852,0,🟢 Low,2,Cyber-Dominant
Venezuela-US Tensions 2026,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Energy price spike,High,0.528,5,0,15,7.92,5,32.92,24.2,🟢 Low,1,-0.5183289195522698,0,🟢 Low,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,High,Moderate,Moderate,Energy price spike,Medium,0.54,20,20,10,8.1,5,63.1,59.5,🟠 High,1,-0.48506647315555235,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,South Asia,China; Taiwan,Severe,Moderate,Moderate,Global market impact,Medium,0.771,25,20,10,11.56,10,76.56,75.3,🔴 Critical,1,-0.5610356600210339,3,🔴 Critical,3,Nuclear Standoff
Russia-Ukraine Conflict,2025,South Asia,China; Taiwan,Low,High,High,Global market impact,Low,0.225,5,30,15,3.38,10,63.38,59.9,🟠 High,1,-0.5267147794603879,2,🟠 High,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Low,High,High,Global market impact,Low,0.28,5,30,15,4.2,10,64.2,60.8,🟠 High,1,-0.5227730034748915,2,🟠 High,1,Direct Confrontation
Israel-Arab Tensions,2026,South Asia,North Korea; South Korea,Low,High,Low,Global market impact,Medium,0.384,5,30,5,5.76,10,55.76,50.9,🟠 High,1,-0.5569738346209061,2,🟠 High,1,Direct Confrontation
Korean Peninsula Risk,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,High,Low,Regional recession,High,0.67,20,30,5,10.05,7,72.05,70.0,🟠 High,1,-0.5326098431639289,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2025,East Asia,China; Taiwan,Moderate,None,Moderate,Energy price spike,Medium,0.364,10,0,10,5.46,5,30.46,21.3,🟢 Low,1,-0.5153808551599665,0,🟢 Low,1,Direct Confrontation
Korean Peninsula Risk,2024,Latin America,India; Pakistan,Moderate,Moderate,Moderate,Energy price spike,Medium,0.437,10,20,10,6.56,5,51.56,46.0,🟡 Moderate,1,-0.4799900340582279,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Localized shock,Low,0.641,10,0,10,9.62,2,31.62,22.6,🟢 Low,1,-0.5384286935396053,0,🟢 Low,2,Cyber-Dominant
Venezuela-US Tensions 2026,2025,Latin America,Venezuela; United States,Moderate,High,Severe,Regional recession,High,0.114,10,30,20,1.71,7,68.71,66.1,🟠 High,1,-0.5377264620054629,2,🟠 High,1,Direct Confrontation
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Severe,Moderate,High,Global market impact,Medium,0.017,25,20,15,0.26,10,70.26,67.9,🟠 High,1,-0.564967013170854,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2025,Eastern Europe,North Korea; South Korea,High,Moderate,Low,Localized shock,Medium,0.549,20,20,5,8.24,2,55.24,50.3,🟠 High,1,-0.5353473786873902,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2026,Latin America,Venezuela; United States,Moderate,None,High,Regional recession,Medium,0.517,10,0,15,7.76,7,39.76,32.2,🟡 Moderate,1,-0.49302405441480723,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Severe,High,Low,Global market impact,Medium,0.694,25,30,5,10.41,10,80.41,79.8,🔴 Critical,1,-0.5834455127171246,3,🔴 Critical,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,Latin America,China; Taiwan,Moderate,High,High,Localized shock,High,0.409,10,30,15,6.14,2,63.14,59.6,🟠 High,1,-0.531954579040476,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2025,Middle East,China; Taiwan,Severe,High,High,Energy price spike,Medium,0.68,25,30,15,10.2,5,85.2,85.4,🔴 Critical,1,-0.5488208062724494,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2026,East Asia,China; Taiwan,Moderate,Low,Low,Regional recession,Low,0.339,10,10,5,5.08,7,37.08,29.0,🟡 Moderate,1,-0.513153871206649,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,South Asia,Venezuela; United States,Severe,High,Moderate,Regional recession,Low,0.135,25,30,10,2.03,7,74.03,72.3,🟠 High,1,-0.5411723832473982,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,Severe,Energy price spike,High,0.275,25,20,20,4.12,5,74.12,72.4,🟠 High,1,-0.5222073881487281,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2026,Eastern Europe,North Korea; South Korea,Low,None,Severe,Energy price spike,Low,0.285,5,0,20,4.27,5,34.27,25.7,🟡 Moderate,1,-0.54932114233046,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,Moderate,High,High,Energy price spike,High,0.694,10,30,15,10.41,5,70.41,68.1,🟠 High,1,-0.5183620455848003,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2024,East Asia,Venezuela; United States,Moderate,Moderate,Severe,Global market impact,High,0.098,10,20,20,1.47,10,61.47,57.6,🟠 High,1,-0.5458086738257416,2,🟠 High,1,Direct Confrontation
Taiwan Strait Stability,2025,Middle East,India; Pakistan,Moderate,Moderate,Severe,Regional recession,High,0.166,10,20,20,2.49,7,59.49,55.3,🟠 High,1,-0.507462726713925,2,🟠 High,1,Direct Confrontation
Venezuela-US Tensions 2026,2026,Middle East,Venezuela; United States,Low,Low,Severe,Global market impact,Medium,0.397,5,10,20,5.96,10,50.96,45.3,🟡 Moderate,1,-0.5379647319098336,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2024,Latin America,India; Pakistan,Severe,Moderate,High,Global market impact,High,0.578,25,20,15,8.67,10,78.67,77.8,🔴 Critical,1,-0.5458048475611698,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,High,Global market impact,Medium,0.462,10,10,15,6.93,10,51.93,46.4,🟡 Moderate,1,-0.5043139615330998,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,High,High,Severe,Regional recession,High,0.38,20,30,20,5.7,7,82.7,82.5,🔴 Critical,1,-0.5339481824614517,3,🔴 Critical,0,Proxy War
Venezuela-US Tensions 2026,2026,Eastern Europe,Russia; Ukraine,High,Low,Low,Localized shock,Low,0.3,20,10,5,4.5,2,41.5,34.2,🟡 Moderate,1,-0.54699029821309,1,🟡 Moderate,3,Nuclear Standoff
Russia-Ukraine Conflict,2024,Latin America,Venezuela; United States,Severe,Low,Moderate,Global market impact,Low,0.661,25,10,10,9.92,10,64.92,61.7,🟠 High,1,-0.5373109959730192,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Low,Regional recession,High,0.347,5,0,5,5.2,7,22.2,11.6,🟢 Low,1,-0.5638718458098132,0,🟢 Low,1,Direct Confrontation
Russia-Ukraine Conflict,2024,Middle East,Venezuela; United States,High,Low,Severe,Regional recession,Medium,0.546,20,10,20,8.19,7,65.19,62.0,🟠 High,1,-0.5077704103019404,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,Low,Moderate,Severe,Regional recession,Low,0.065,5,20,20,0.98,7,52.98,47.7,🟡 Moderate,1,-0.5353355241220694,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2024,Eastern Europe,India; Pakistan,High,Low,Moderate,Global market impact,High,0.39,20,10,10,5.85,10,55.85,51.0,🟠 High,1,-0.505270746916163,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2024,Latin America,Russia; Ukraine,Low,Low,Moderate,Global market impact,Medium,0.741,5,10,10,11.12,10,46.12,39.6,🟡 Moderate,1,-0.5366114071190822,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2025,Latin America,China; Taiwan,Low,Low,Low,Regional recession,Low,0.742,5,10,5,11.13,7,38.13,30.3,🟡 Moderate,1,-0.5326915355422427,1,🟡 Moderate,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Severe,Regional recession,Low,0.097,25,30,20,1.46,7,83.46,83.4,🔴 Critical,1,-0.5680404108795325,3,🔴 Critical,0,Proxy War
Venezuela-US Tensions 2026,2025,Latin America,Venezuela; United States,High,High,Low,Regional recession,High,0.437,20,30,5,6.56,7,68.56,65.9,🟠 High,1,-0.5136600830492026,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Eastern Europe,Russia; Ukraine,Moderate,High,Low,Localized shock,High,0.848,10,30,5,12.72,2,59.72,55.6,🟠 High,-1,-0.5910610994122426,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,East Asia,China; Taiwan,Moderate,None,Moderate,Energy price spike,Low,0.4,10,0,10,6.0,5,31.0,21.9,🟢 Low,1,-0.5132931552757377,0,🟢 Low,1,Direct Confrontation
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Severe,Moderate,Severe,Regional recession,High,0.021,25,20,20,0.32,7,72.32,70.3,🟠 High,1,-0.5597252239496096,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2024,Eastern Europe,North Korea; South Korea,High,Low,Moderate,Energy price spike,Low,0.317,20,10,10,4.76,5,49.76,43.9,🟡 Moderate,1,-0.4865219358039681,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2025,Middle East,Venezuela; United States,Severe,Moderate,High,Localized shock,Medium,0.11,25,20,15,1.65,2,63.65,60.2,🟠 High,1,-0.5570269343211718,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2025,Latin America,China; Taiwan,Low,Low,Moderate,Energy price spike,High,0.257,5,10,10,3.86,5,33.86,25.3,🟡 Moderate,1,-0.5129967319134048,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,Middle East,North Korea; South Korea,Severe,Moderate,Severe,Regional recession,Medium,0.326,25,20,20,4.89,7,76.89,75.7,🔴 Critical,1,-0.5257944337035702,3,🔴 Critical,0,Proxy War
Korean Peninsula Risk,2025,Latin America,China; Taiwan,High,High,Low,Energy price spike,High,0.195,20,30,5,2.92,5,62.92,59.3,🟠 High,1,-0.5300820557733661,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2025,East Asia,Venezuela; United States,Low,High,High,Energy price spike,Low,0.064,5,30,15,0.96,5,55.96,51.2,🟠 High,1,-0.5380807776955425,2,🟠 High,1,Direct Confrontation
Taiwan Strait Stability,2025,East Asia,India; Pakistan,Low,Moderate,Low,Regional recession,High,0.1,5,20,5,1.5,7,38.5,30.7,🟡 Moderate,1,-0.5439879097663727,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,Severe,Low,High,Regional recession,Medium,0.036,25,10,15,0.54,7,57.54,53.0,🟠 High,1,-0.5360541241847998,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Regional recession,Medium,0.445,10,30,15,6.68,7,68.68,66.1,🟠 High,1,-0.5010097572110183,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2024,South Asia,China; Taiwan,Moderate,Low,High,Energy price spike,Medium,0.12,10,10,15,1.8,5,41.8,34.6,🟡 Moderate,1,-0.5017670873616862,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2026,East Asia,China; Taiwan,Low,Moderate,High,Global market impact,Low,0.748,5,20,15,11.22,10,61.22,57.3,🟠 High,1,-0.5378439976293846,2,🟠 High,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,South Asia,China; Taiwan,Low,Moderate,Moderate,Global market impact,Low,0.541,5,20,10,8.12,10,53.12,47.8,🟡 Moderate,1,-0.5109356426180309,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2024,Middle East,North Korea; South Korea,Severe,High,Low,Global market impact,Low,0.248,25,30,5,3.72,10,73.72,72.0,🟠 High,1,-0.5767230860345399,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2026,South Asia,Venezuela; United States,Severe,None,High,Localized shock,Medium,0.541,25,0,15,8.12,2,50.12,44.3,🟡 Moderate,1,-0.5524901319533978,1,🟡 Moderate,0,Proxy War
Venezuela-US Tensions 2026,2025,Middle East,Russia; Ukraine,High,None,Low,Energy price spike,Low,0.231,20,0,5,3.47,5,33.47,24.8,🟢 Low,1,-0.5434464012987665,0,🟢 Low,3,Nuclear Standoff
Israel-Arab Tensions,2025,East Asia,North Korea; South Korea,Moderate,High,Low,Energy price spike,Low,0.717,10,30,5,10.76,5,60.76,56.8,🟠 High,1,-0.5452443543182042,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2026,South Asia,North Korea; South Korea,Low,Moderate,Low,Energy price spike,High,0.571,5,20,5,8.56,5,43.56,36.6,🟡 Moderate,1,-0.5231649159963276,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,Low,Low,High,Regional recession,Low,0.842,5,10,15,12.63,7,49.63,43.7,🟡 Moderate,1,-0.5288705579252674,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2025,East Asia,China; Taiwan,Low,Low,Low,Energy price spike,High,0.774,5,10,5,11.61,5,36.61,28.5,🟡 Moderate,1,-0.5508342844597135,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,Eastern Europe,Russia; Ukraine,Severe,High,Moderate,Global market impact,Medium,0.083,25,30,10,1.25,10,76.25,74.9,🟠 High,1,-0.5790082953574756,3,🔴 Critical,3,Nuclear Standoff
Korean Peninsula Risk,2024,Middle East,Russia; Ukraine,Low,Low,Moderate,Global market impact,Low,0.032,5,10,10,0.48,10,35.48,27.2,🟡 Moderate,1,-0.5660818971722782,1,🟡 Moderate,1,Direct Confrontation
Israel-Arab Tensions,2024,East Asia,China; Taiwan,Severe,Moderate,Low,Localized shock,High,0.273,25,20,5,4.1,2,56.1,51.3,🟠 High,1,-0.5606232370249141,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2024,Latin America,Venezuela; United States,Low,Moderate,Moderate,Localized shock,High,0.217,5,20,10,3.26,2,40.26,32.8,🟡 Moderate,1,-0.5329004066135664,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,Middle East,Russia; Ukraine,Moderate,Low,High,Regional recession,Medium,0.617,10,10,15,9.25,7,51.25,45.6,🟡 Moderate,1,-0.48259951303712334,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2024,East Asia,China; Taiwan,Low,Low,Moderate,Localized shock,High,0.103,5,10,10,1.54,2,28.54,19.0,🟢 Low,1,-0.5508078605637269,0,🟢 Low,1,Direct Confrontation
Israel-Arab Tensions,2026,Latin America,Russia; Ukraine,Severe,High,Low,Regional recession,High,0.29,25,30,5,4.35,7,71.35,69.2,🟠 High,1,-0.5438593271880654,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2025,Eastern Europe,Russia; Ukraine,Low,High,High,Energy price spike,Low,0.823,5,30,15,12.34,5,67.34,64.5,🟠 High,1,-0.5528354394772932,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,Middle East,China; Taiwan,Moderate,Moderate,Moderate,Localized shock,Low,0.092,10,20,10,1.38,2,43.38,36.4,🟡 Moderate,1,-0.5310950219990975,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2026,Eastern Europe,Russia; Ukraine,High,None,High,Regional recession,Medium,0.647,20,0,15,9.7,7,51.7,46.2,🟡 Moderate,1,-0.5095585294352177,1,🟡 Moderate,0,Proxy War
India-Pakistan Escalation 2025,2025,Middle East,Russia; Ukraine,Low,None,Severe,Localized shock,Medium,0.256,5,0,20,3.84,2,30.84,21.7,🟢 Low,1,-0.574827157636715,0,🟢 Low,1,Direct Confrontation
Korean Peninsula Risk,2025,East Asia,Russia; Ukraine,Severe,None,Severe,Localized shock,High,0.418,25,0,20,6.27,2,53.27,48.0,🟡 Moderate,1,-0.5696750110023759,1,🟡 Moderate,0,Proxy War
Venezuela-US Tensions 2026,2026,Latin America,India; Pakistan,Low,Low,Moderate,Global market impact,Medium,0.099,5,10,10,1.48,10,36.48,28.3,🟡 Moderate,1,-0.5524432112411723,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2026,Latin America,Russia; Ukraine,Severe,Low,High,Localized shock,High,0.327,25,10,15,4.9,2,56.9,52.3,🟠 High,1,-0.539900122026456,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,High,Energy price spike,Low,0.197,20,20,15,2.96,5,62.96,59.4,🟠 High,1,-0.4868326120177203,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Severe,Energy price spike,Low,0.266,5,0,20,3.99,5,33.99,25.4,🟡 Moderate,1,-0.5486154980454357,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Low,Localized shock,Low,0.556,10,30,5,8.34,2,55.34,50.4,🟠 High,1,-0.5607219576015169,2,🟠 High,2,Cyber-Dominant
Korean Peninsula Risk,2024,East Asia,North Korea; South Korea,Severe,Low,Low,Localized shock,Low,0.774,25,10,5,11.61,2,53.61,48.4,🟡 Moderate,1,-0.5684415140158746,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,Latin America,North Korea; South Korea,High,High,Low,Regional recession,Low,0.425,20,30,5,6.38,7,68.38,65.7,🟠 High,1,-0.5145293949823404,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,Eastern Europe,Venezuela; United States,Severe,None,Moderate,Localized shock,Medium,0.291,25,0,10,4.36,2,41.36,34.1,🟡 Moderate,1,-0.5608779164731492,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Severe,None,Moderate,Energy price spike,High,0.104,25,0,10,1.56,5,41.56,34.3,🟡 Moderate,1,-0.5597938362868965,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Latin America,China; Taiwan,High,Moderate,Low,Localized shock,Low,0.709,20,20,5,10.64,2,57.64,53.1,🟠 High,1,-0.5512746769739312,2,🟠 High,3,Nuclear Standoff
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Low,None,High,Energy price spike,High,0.801,5,0,15,12.02,5,37.02,29.0,🟡 Moderate,1,-0.544389810869826,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,Eastern Europe,Russia; Ukraine,Moderate,Moderate,Low,Global market impact,High,0.079,10,20,5,1.18,10,46.18,39.7,🟡 Moderate,1,-0.5454832957101347,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,East Asia,India; Pakistan,Moderate,Low,High,Energy price spike,Low,0.83,10,10,15,12.45,5,52.45,47.0,🟡 Moderate,1,-0.5264748703268942,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,East Asia,China; Taiwan,Moderate,Low,Low,Energy price spike,High,0.144,10,10,5,2.16,5,32.16,23.3,🟢 Low,1,-0.5319987207356538,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,Severe,High,Moderate,Global market impact,Low,0.517,25,30,10,7.76,10,82.76,82.6,🔴 Critical,1,-0.5690052054194011,3,🔴 Critical,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Latin America,North Korea; South Korea,Severe,Low,Low,Localized shock,High,0.534,25,10,5,8.01,2,50.01,44.2,🟡 Moderate,1,-0.548031230663856,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2025,Latin America,China; Taiwan,Moderate,None,Moderate,Energy price spike,High,0.129,10,0,10,1.94,5,26.94,17.2,🟢 Low,1,-0.5424507278106022,0,🟢 Low,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,Severe,Moderate,Moderate,Localized shock,Low,0.129,25,20,10,1.94,2,58.94,54.7,🟠 High,1,-0.5539223026550467,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,Severe,Energy price spike,Medium,0.036,25,20,20,0.54,5,70.54,68.2,🟠 High,1,-0.5482078021168115,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2025,East Asia,Venezuela; United States,Severe,None,High,Energy price spike,Medium,0.719,25,0,15,10.78,5,55.78,50.9,🟠 High,1,-0.5354628260224135,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2024,Latin America,India; Pakistan,Severe,None,High,Localized shock,Low,0.28,25,0,15,4.2,2,46.2,39.7,🟡 Moderate,1,-0.5560349137022047,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Low,Global market impact,Medium,0.642,10,20,5,9.63,10,54.63,49.6,🟡 Moderate,1,-0.5362539863297185,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,Moderate,High,Regional recession,High,0.526,25,20,15,7.89,7,74.89,73.3,🟠 High,1,-0.5108996016698234,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2026,South Asia,Venezuela; United States,Moderate,None,High,Global market impact,Medium,0.637,10,0,15,9.56,10,44.56,37.8,🟡 Moderate,1,-0.5316077691022927,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2024,Eastern Europe,Russia; Ukraine,Severe,Low,High,Energy price spike,Medium,0.141,25,10,15,2.11,5,57.11,52.5,🟠 High,1,-0.5152521084611749,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Low,Localized shock,Low,0.403,25,30,5,6.04,2,68.04,65.3,🟠 High,1,-0.5676395475429696,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,Latin America,North Korea; South Korea,Severe,Low,High,Regional recession,Low,0.657,25,10,15,9.86,7,66.86,63.9,🟠 High,1,-0.5179703363452595,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2024,Latin America,North Korea; South Korea,Moderate,Moderate,Severe,Energy price spike,Medium,0.555,10,20,20,8.33,5,63.33,59.8,🟠 High,1,-0.5019470434361171,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2024,South Asia,China; Taiwan,High,None,Severe,Global market impact,Low,0.683,20,0,20,10.24,10,60.24,56.2,🟠 High,1,-0.557527424872825,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,None,Moderate,Energy price spike,Medium,0.346,10,0,10,5.19,5,30.19,21.0,🟢 Low,1,-0.5154531778730806,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2024,South Asia,India; Pakistan,Low,None,Low,Regional recession,Medium,0.822,5,0,5,12.33,7,29.33,20.0,🟢 Low,1,-0.5752771786160538,0,🟢 Low,2,Cyber-Dominant
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,Moderate,Low,Moderate,Energy price spike,High,0.066,10,10,10,0.99,5,35.99,27.8,🟡 Moderate,1,-0.527409430309438,1,🟡 Moderate,1,Direct Confrontation
Korean Peninsula Risk,2025,Middle East,North Korea; South Korea,Moderate,High,Moderate,Global market impact,Low,0.24,10,30,10,3.6,10,63.6,60.1,🟠 High,1,-0.5234157521773222,2,🟠 High,1,Direct Confrontation
Russia-Ukraine Conflict,2026,East Asia,Venezuela; United States,High,High,High,Localized shock,High,0.355,20,30,15,5.32,2,72.32,70.3,🟠 High,1,-0.5446970600458992,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2024,Eastern Europe,China; Taiwan,Moderate,High,High,Localized shock,Low,0.57,10,30,15,8.55,2,65.55,62.4,🟠 High,1,-0.5377155908187615,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2024,East Asia,India; Pakistan,Severe,Low,High,Regional recession,Medium,0.542,25,10,15,8.13,7,65.13,61.9,🟠 High,1,-0.5097591190803462,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2025,Middle East,Russia; Ukraine,Severe,None,Severe,Regional recession,Low,0.255,25,0,20,3.82,7,55.82,51.0,🟠 High,1,-0.5453534674214123,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2025,Latin America,China; Taiwan,Severe,High,Severe,Localized shock,High,0.269,25,30,20,4.04,2,81.04,80.5,🔴 Critical,1,-0.5862900065927559,3,🔴 Critical,0,Proxy War
Venezuela-US Tensions 2026,2026,East Asia,North Korea; South Korea,Severe,None,High,Global market impact,Low,0.128,25,0,15,1.92,10,51.92,46.4,🟡 Moderate,1,-0.5673880931766927,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,None,High,Global market impact,Medium,0.323,20,0,15,4.84,10,49.84,44.0,🟡 Moderate,1,-0.5245890061608129,1,🟡 Moderate,0,Proxy War
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,Moderate,None,High,Global market impact,Medium,0.307,10,0,15,4.6,10,39.6,32.0,🟡 Moderate,1,-0.5130883494284231,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,Middle East,Venezuela; United States,High,Low,High,Energy price spike,Low,0.091,20,10,15,1.36,5,51.36,45.8,🟡 Moderate,1,-0.5034869109654605,1,🟡 Moderate,0,Proxy War
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Moderate,None,Moderate,Global market impact,Low,0.033,10,0,10,0.5,10,30.5,21.3,🟢 Low,1,-0.5833801817535451,0,🟢 Low,1,Direct Confrontation
Russia-Ukraine Conflict,2024,South Asia,Russia; Ukraine,High,Low,Severe,Energy price spike,Low,0.758,20,10,20,11.37,5,66.37,63.4,🟠 High,1,-0.5289913972017705,2,🟠 High,0,Proxy War
